stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07932,1.07934,1.07918,1.07921,144,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07934,1.07937,1.07921,1.07924,73,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07921,1.07944,1.07921,1.07933,67,2024-04-01T00:01:00+00:00,2024-04-01T00:01:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07923,1.07949,1.07923,1.07936,135,2024-04-01T00:01:00+00:00,2024-04-01T00:01:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07933,1.07934,1.0793,1.07933,47,2024-04-01T00:02:00+00:00,2024-04-01T00:02:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07937,1.07938,1.07933,1.07937,119,2024-04-01T00:02:00+00:00,2024-04-01T00:02:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07933,1.07953,1.07932,1.07947,94,2024-04-01T00:03:00+00:00,2024-04-01T00:03:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07935,1.07956,1.07934,1.07949,122,2024-04-01T00:03:00+00:00,2024-04-01T00:03:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07946,1.0795,1.07944,1.07947,23,2024-04-01T00:04:00+00:00,2024-04-01T00:04:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07948,1.07952,1.07947,1.07948,32,2024-04-01T00:04:00+00:00,2024-04-01T00:04:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07947,1.07958,1.07947,1.07955,55,2024-04-01T00:05:00+00:00,2024-04-01T00:05:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07949,1.0796,1.07949,1.07958,61,2024-04-01T00:05:00+00:00,2024-04-01T00:05:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07954,1.07956,1.07945,1.07956,38,2024-04-01T00:06:00+00:00,2024-04-01T00:06:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07956,1.07958,1.07948,1.07958,24,2024-04-01T00:06:00+00:00,2024-04-01T00:06:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07955,1.07956,1.07947,1.0795,53,2024-04-01T00:07:00+00:00,2024-04-01T00:07:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07958,1.07958,1.07949,1.07953,62,2024-04-01T00:07:00+00:00,2024-04-01T00:07:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.0795,1.07963,1.07948,1.07956,43,2024-04-01T00:08:00+00:00,2024-04-01T00:08:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07952,1.07965,1.07951,1.07959,68,2024-04-01T00:08:00+00:00,2024-04-01T00:08:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07956,1.07956,1.07942,1.07946,54,2024-04-01T00:09:00+00:00,2024-04-01T00:09:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.07958,1.07959,1.07945,1.07949,53,2024-04-01T00:09:00+00:00,2024-04-01T00:09:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07946,1.07949,1.07945,1.07948,81,2024-04-01T00:10:00+00:00,2024-04-01T00:10:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.0795,1.07953,1.07946,1.07951,145,2024-04-01T00:10:00+00:00,2024-04-01T00:10:00+00:00
sniffer_engine,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1.71E+18,1.71E+18,1.07947,1.07954,1.0794,1.07953,63,2024-04-01T00:11:00+00:00,2024-04-01T00:11:00+00:00
sniffer_engine,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1.71E+18,1.71E+18,1.0795,1.07955,1.07942,1.07955,78,2024-04-01T00:11:00+00:00,2024-04-01T00:11:00+00:00
