stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929600000000000,1711929600000000000,1.07934,1.07937,1.07921,1.07924,73.0,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929600000000000,1711929600000000000,1.07932,1.07934,1.07918,1.07921,144.0,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929660000000000,1711929660000000000,1.07923,1.07949,1.07923,1.07936,135.0,2024-04-01 00:01:00+00:00,2024-04-01 00:01:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929660000000000,1711929660000000000,1.07921,1.07944,1.07921,1.07933,67.0,2024-04-01 00:01:00+00:00,2024-04-01 00:01:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929720000000000,1711929720000000000,1.07937,1.07938,1.07933,1.07937,119.0,2024-04-01 00:02:00+00:00,2024-04-01 00:02:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929720000000000,1711929720000000000,1.07933,1.07934,1.0793,1.07933,47.0,2024-04-01 00:02:00+00:00,2024-04-01 00:02:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929780000000000,1711929780000000000,1.07935,1.07956,1.07934,1.07949,122.0,2024-04-01 00:03:00+00:00,2024-04-01 00:03:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929780000000000,1711929780000000000,1.07933,1.07953,1.07932,1.07947,94.0,2024-04-01 00:03:00+00:00,2024-04-01 00:03:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929840000000000,1711929840000000000,1.07948,1.07952,1.07947,1.07948,32.0,2024-04-01 00:04:00+00:00,2024-04-01 00:04:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929840000000000,1711929840000000000,1.07946,1.0795,1.07944,1.07947,23.0,2024-04-01 00:04:00+00:00,2024-04-01 00:04:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929900000000000,1711929900000000000,1.07949,1.0796,1.07949,1.07958,61.0,2024-04-01 00:05:00+00:00,2024-04-01 00:05:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929900000000000,1711929900000000000,1.07947,1.07958,1.07947,1.07955,55.0,2024-04-01 00:05:00+00:00,2024-04-01 00:05:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711929960000000000,1711929960000000000,1.07956,1.07958,1.07948,1.07958,24.0,2024-04-01 00:06:00+00:00,2024-04-01 00:06:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711929960000000000,1711929960000000000,1.07954,1.07956,1.07945,1.07956,38.0,2024-04-01 00:06:00+00:00,2024-04-01 00:06:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711930020000000000,1711930020000000000,1.07958,1.07958,1.07949,1.07953,62.0,2024-04-01 00:07:00+00:00,2024-04-01 00:07:00+00:00
engine_1min,BID,EURUSD.FOREX_MS-1-MINUTE-BID-EXTERNAL,1711930020000000000,1711930020000000000,1.07955,1.07956,1.07947,1.0795,53.0,2024-04-01 00:07:00+00:00,2024-04-01 00:07:00+00:00
engine_1min,ASK,EURUSD.FOREX_MS-1-MINUTE-ASK-EXTERNAL,1711930080000000000,1711930080000000000,1.07952,1.07965,1.07951,1.07959,68.0,2024-04-01 00:08:00+00:00,2024-04-01 00:08:00+00:00
