stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1711929600000000000,1711929600000000000,1.07934,1.07937,1.07921,1.07924,73.0,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1711929600000000000,1711929600000000000,1.07932,1.07934,1.07918,1.07921,144.0,2024-04-01 00:00:00+00:00,2024-04-01 00:00:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1711929900000000000,1711929900000000000,1.07923,1.0796,1.07923,1.07958,469.0,2024-04-01 00:05:00+00:00,2024-04-01 00:05:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1711929900000000000,1711929900000000000,1.07921,1.07958,1.07921,1.07955,286.0,2024-04-01 00:05:00+00:00,2024-04-01 00:05:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1711930200000000000,1711930200000000000,1.07956,1.07965,1.07945,1.07951,352.0,2024-04-01 00:10:00+00:00,2024-04-01 00:10:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1711930200000000000,1711930200000000000,1.07954,1.07963,1.07942,1.07948,269.0,2024-04-01 00:10:00+00:00,2024-04-01 00:10:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1711930500000000000,1711930500000000000,1.0795,1.07959,1.07942,1.07957,301.0,2024-04-01 00:15:00+00:00,2024-04-01 00:15:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1711930500000000000,1711930500000000000,1.07947,1.07957,1.0794,1.07954,289.0,2024-04-01 00:15:00+00:00,2024-04-01 00:15:00+00:00
strategy_5min,ASK,EURUSD.FOREX_MS-5-MINUTE-ASK-INTERNAL,1711930800000000000,1711930800000000000,1.07957,1.07967,1.07948,1.07967,281.0,2024-04-01 00:20:00+00:00,2024-04-01 00:20:00+00:00
strategy_5min,BID,EURUSD.FOREX_MS-5-MINUTE-BID-INTERNAL,1711930800000000000,1711930800000000000,1.07956,1.07965,1.07945,1.07964,354.0,2024-04-01 00:20:00+00:00,2024-04-01 00:20:00+00:00
