stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711929600000000000,1711929600000000000,1.07934,1.07937,1.07921,1.07924,73.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711929600000000000,1711929600000000000,1.07932,1.07934,1.07918,1.07921,144.0,2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711931400000000000,1711931400000000000,1.07923,1.07986,1.07923,1.07975,2463.0,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711931400000000000,1711931400000000000,1.07921,1.07982,1.07921,1.07972,1784.0,2024-04-01T00:30:00+00:00,2024-04-01T00:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711933200000000000,1711933200000000000,1.07974,1.07989,1.07904,1.07914,1593.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711933200000000000,1711933200000000000,1.07971,1.07987,1.07901,1.07912,2632.0,2024-04-01T01:00:00+00:00,2024-04-01T01:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711935000000000000,1711935000000000000,1.07914,1.07948,1.07901,1.07926,2638.0,2024-04-01T01:30:00+00:00,2024-04-01T01:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711935000000000000,1711935000000000000,1.07911,1.07945,1.07897,1.07923,1327.0,2024-04-01T01:30:00+00:00,2024-04-01T01:30:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711936800000000000,1711936800000000000,1.07925,1.07927,1.07858,1.07866,1652.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711936800000000000,1711936800000000000,1.07922,1.07926,1.07856,1.07864,1644.0,2024-04-01T02:00:00+00:00,2024-04-01T02:00:00+00:00
sniffer_strategy,ASK,EURUSD.FOREX_MS-30-MINUTE-ASK-INTERNAL,1711938600000000000,1711938600000000000,1.07866,1.07879,1.07851,1.07874,1372.0,2024-04-01T02:30:00+00:00,2024-04-01T02:30:00+00:00
sniffer_strategy,BID,EURUSD.FOREX_MS-30-MINUTE-BID-INTERNAL,1711938600000000000,1711938600000000000,1.07865,1.07876,1.07848,1.07872,1780.0,2024-04-01T02:30:00+00:00,2024-04-01T02:30:00+00:00
