stream,price_type,bar_type,ts_event_ns,ts_init_ns,open,high,low,close,volume,ts_event,ts_init
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767308400000000000,1767308400000000000,4327.902,4334.902,4327.902,4330.702,0.03,2026-01-01T23:00:00+00:00,2026-01-01T23:00:00+00:00
sniffer_strategy,BID,XAUUSD.COMMODITIES_MS-5-MINUTE-BID-INTERNAL,1767308400000000000,1767308400000000000,4323.698,4332.848,4323.698,4328.198,0.04,2026-01-01T23:00:00+00:00,2026-01-01T23:00:00+00:00
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767308700000000000,1767308700000000000,4331.302,4334.012,4325.102,4331.705,0.12,2026-01-01T23:05:00+00:00,2026-01-01T23:05:00+00:00
sniffer_strategy,BID,XAUUSD.COMMODITIES_MS-5-MINUTE-BID-INTERNAL,1767308700000000000,1767308700000000000,4328.198,4331.998,4323.198,4329.498,0.12,2026-01-01T23:05:00+00:00,2026-01-01T23:05:00+00:00
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767309000000000000,1767309000000000000,4331.715,4334.702,4331.285,4333.755,0.08,2026-01-01T23:10:00+00:00,2026-01-01T23:10:00+00:00
sniffer_strategy,BID,XAUUSD.COMMODITIES_MS-5-MINUTE-BID-INTERNAL,1767309000000000000,1767309000000000000,4329.645,4332.985,4329.198,4332.565,0.07,2026-01-01T23:10:00+00:00,2026-01-01T23:10:00+00:00
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767309300000000000,1767309300000000000,4333.825,4336.205,4329.035,4331.765,0.06,2026-01-01T23:15:00+00:00,2026-01-01T23:15:00+00:00
sniffer_strategy,BID,XAUUSD.COMMODITIES_MS-5-MINUTE-BID-INTERNAL,1767309300000000000,1767309300000000000,4332.595,4335.055,4327.865,4330.595,0.06,2026-01-01T23:15:00+00:00,2026-01-01T23:15:00+00:00
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767309600000000000,1767309600000000000,4331.765,4335.235,4331.715,4334.585,0.05,2026-01-01T23:20:00+00:00,2026-01-01T23:20:00+00:00
sniffer_strategy,BID,XAUUSD.COMMODITIES_MS-5-MINUTE-BID-INTERNAL,1767309600000000000,1767309600000000000,4330.635,4334.075,4330.545,4333.535,0.05,2026-01-01T23:20:00+00:00,2026-01-01T23:20:00+00:00
sniffer_strategy,ASK,XAUUSD.COMMODITIES_MS-5-MINUTE-ASK-INTERNAL,1767309900000000000,1767309900000000000,4335.272,4343.102,4333.585,4341.502,0.1,2026-01-01T23:25:00+00:00,2026-01-01T23:25:00+00:00
