client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20240102-011600-001-000-1,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-001,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-002,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.1040699922000001,0.0,['110.41 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-011600-001-000-1,"['O-20240102-011600-001-000-2', 'O-20240102-011600-001-000-3']",,,,,['ENTRY'],bb7ffb81-607a-402a-94de-3364c452f5b0,2024-01-02 01:16:00+00:00,2024-01-02 01:16:00+00:00,,,,,,,
O-20240102-011600-001-000-2,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-002,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-004,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.1020500039999999,9.99600000017864e-06,['110.20 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-011600-001-000-1,['O-20240102-011600-001-000-3'],O-20240102-011600-001-000-1,,,,['STOP_LOSS'],16db2414-557d-496a-9b30-e2bc61e017d2,2024-01-02 01:16:00+00:00,2024-01-02 02:53:00+00:00,1.10206,DEFAULT,,,,,
O-20240102-052100-001-000-4,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-004,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-006,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.1025699994,0.0,['110.26 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-052100-001-000-2,"['O-20240102-052100-001-000-5', 'O-20240102-052100-001-000-6']",,,,,['ENTRY'],d5e79ecb-1744-4812-94eb-48ec01541b3a,2024-01-02 05:21:00+00:00,2024-01-02 05:21:00+00:00,,,,,,,
O-20240102-052100-001-000-5,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-005,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-008,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.100550011,9.989000000043546e-06,['110.05 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-052100-001-000-2,['O-20240102-052100-001-000-6'],O-20240102-052100-001-000-4,,,,['STOP_LOSS'],1ff9b6f1-3230-4f5f-a7d2-deaf99f8f747,2024-01-02 05:21:00+00:00,2024-01-02 10:09:00+00:00,1.10056,DEFAULT,,,,,
O-20240102-150100-001-000-7,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-007,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-010,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0966099807000003,0.0,['109.66 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-150100-001-000-3,"['O-20240102-150100-001-000-8', 'O-20240102-150100-001-000-9']",,,,,['ENTRY'],8739759b-3238-4ec2-a211-49a89a6cffd4,2024-01-02 15:01:00+00:00,2024-01-02 15:01:00+00:00,,,,,,,
O-20240102-150100-001-000-8,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-008,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-012,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0945900063,9.993699999988337e-06,['109.46 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-150100-001-000-3,['O-20240102-150100-001-000-9'],O-20240102-150100-001-000-7,,,,['STOP_LOSS'],7af8da7d-0081-4172-b2a4-a15553985ef6,2024-01-02 15:01:00+00:00,2024-01-02 15:55:00+00:00,1.09460,DEFAULT,,,,,
O-20240102-182600-001-000-10,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-010,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-014,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0954699973,0.0,['109.55 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-182600-001-000-4,"['O-20240102-182600-001-000-11', 'O-20240102-182600-001-000-12']",,,,,['ENTRY'],e7fbd979-e597-44fc-b218-b58293d8e43f,2024-01-02 18:26:00+00:00,2024-01-02 18:26:00+00:00,,,,,,,
O-20240102-182600-001-000-11,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-011,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-016,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0934500038,9.996200000195188e-06,['109.34 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-182600-001-000-4,['O-20240102-182600-001-000-12'],O-20240102-182600-001-000-10,,,,['STOP_LOSS'],1af877da-156b-47fe-a073-1f76a1bb6f37,2024-01-02 18:26:00+00:00,2024-01-03 10:01:00+00:00,1.09346,DEFAULT,,,,,
O-20240103-150100-001-000-13,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-013,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-018,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0925099649,0.0,['109.25 USD'],NO_TRIGGER,FILLED,OTO,OL-20240103-150100-001-000-5,"['O-20240103-150100-001-000-14', 'O-20240103-150100-001-000-15']",,,,,['ENTRY'],518f8330-ee1c-48dd-910b-eb8eac5c9461,2024-01-03 15:01:00+00:00,2024-01-03 15:01:00+00:00,,,,,,,
O-20240103-150100-001-000-14,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-014,EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-020,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0904900172,9.982799999974645e-06,['109.05 USD'],NO_TRIGGER,FILLED,OUO,OL-20240103-150100-001-000-5,['O-20240103-150100-001-000-15'],O-20240103-150100-001-000-13,,,,['STOP_LOSS'],214d5fab-31f0-44df-abdd-f622aa7e407d,2024-01-03 15:01:00+00:00,2024-01-03 15:40:00+00:00,1.09050,DEFAULT,,,,,
