position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-4c255229-828c-4de8-b004-0e7f5ad1792f,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-011600-001-000-1,O-20240102-011600-001-000-2,BUY,FLAT,0,100000,1704158160000000000,2024-01-02 01:16:00+00:00,1704163980000000000,2024-01-02 02:53:00+00:00,5820000000000,1.1040699922000001,1.1020500039999999,['220.61 USD'],-0.00183,-422.61 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-33ae1efc-c62a-43dd-a845-75b87a8f8619,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-052100-001-000-4,O-20240102-052100-001-000-5,BUY,FLAT,0,100000,1704172860000000000,2024-01-02 05:21:00+00:00,1704190140000000000,2024-01-02 10:09:00+00:00,17280000000000,1.1025699994,1.100550011,['220.31 USD'],-0.00183,-422.31 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-51913d39-de8e-4087-afb0-d3e2c732e37b,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-150100-001-000-7,O-20240102-150100-001-000-8,BUY,FLAT,0,100000,1704207660000000000,2024-01-02 15:01:00+00:00,1704210900000000000,2024-01-02 15:55:00+00:00,3240000000000,1.0966099807000003,1.0945900063,['219.12 USD'],-0.00184,-421.12 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-1eacce42-f502-498e-9503-6e6879b9198e,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-182600-001-000-10,O-20240102-182600-001-000-11,BUY,FLAT,0,100000,1704219960000000000,2024-01-02 18:26:00+00:00,1704276060000000000,2024-01-03 10:01:00+00:00,56100000000000,1.0954699973,1.0934500038,['218.89 USD'],-0.00184,-420.89 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-ce570dd1-894e-4395-9976-389d31fc191c,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240103-150100-001-000-13,O-20240103-150100-001-000-14,BUY,FLAT,0,100000,1704294060000000000,2024-01-03 15:01:00+00:00,1704296400000000000,2024-01-03 15:40:00+00:00,2340000000000,1.0925099649,1.0904900172,['218.30 USD'],-0.00185,-420.29 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-ca7dddde-3426-4b9a-8155-014beb50e303,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240103-181100-001-000-16,O-20240103-181100-001-000-18,BUY,FLAT,0,100000,1704305460000000000,2024-01-03 18:11:00+00:00,1704358500000000000,2024-01-04 08:55:00+00:00,53040000000000,1.0912599914,1.09525,['218.64 USD'],0.00366,180.35 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-61bca1ae-3bdc-4c8b-8860-6ab80a5a692c,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240104-110600-001-000-19,O-20240104-110600-001-000-21,SELL,FLAT,0,100000,1704366360000000000,2024-01-04 11:06:00+00:00,1704443460000000000,2024-01-05 08:31:00+00:00,77100000000000,1.0955200038,1.09155,['218.71 USD'],0.00362,178.29 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-b70077c8-6dce-4244-9f6e-c90aa0da1f82,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-112100-001-000-22,O-20240105-112100-001-000-23,BUY,FLAT,0,100000,1704453660000000000,2024-01-05 11:21:00+00:00,1704461400000000000,2024-01-05 13:30:00+00:00,7740000000000,1.0915799971,1.0895600522,['218.12 USD'],-0.00185,-420.11 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-1d344346-e3ba-4e19-99d4-1ff57b6fd446,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-133100-001-000-25,O-20240105-133100-001-000-26,SELL,FLAT,0,100000,1704461460000000000,2024-01-05 13:31:00+00:00,1704461640000000000,2024-01-05 13:34:00+00:00,180000000000,1.0881400524000002,1.0901999544,['217.83 USD'],-0.00189,-423.82 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-09e35c04-321c-4074-bee5-686555072a6b,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-140100-001-000-28,O-20240105-140100-001-000-30,BUY,FLAT,0,100000,1704463260000000000,2024-01-05 14:01:00+00:00,1704466800000000000,2024-01-05 15:00:00+00:00,3540000000000,1.0927599748999999,1.09675,['218.94 USD'],0.00365,180.05 USD,True
EURUSD.FOREX_MS-CustomAggEmaCrossStrategy-000-89215c85-d025-48c1-8db0-bba90df7ec96,AGG-DEMO-001,CustomAggEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-165600-001-000-31,O-20240105-165600-001-000-32,SELL,FLAT,0,100000,1704473760000000000,2024-01-05 16:56:00+00:00,1704730320000000000,2024-01-08 16:12:00+00:00,256560000000000,1.0957300096000002,1.0977799938000001,['219.36 USD'],-0.00187,-424.35 USD,True
