client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last,trigger_price,trigger_type,expire_time_ns,trigger_instrument_id,price,is_post_only,display_qty
O-20240102-011500-001-000-1,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-001,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-002,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.1040699922000001,0.0,['110.41 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-011500-001-000-1,"['O-20240102-011500-001-000-2', 'O-20240102-011500-001-000-3']",,,,,['ENTRY'],47cb8878-5d95-4376-b836-df7f9ecbe289,2024-01-02 01:15:00+00:00,2024-01-02 01:15:00+00:00,,,,,,,
O-20240102-011500-001-000-2,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-002,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-004,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.1020500039999999,9.99600000017864e-06,['110.20 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-011500-001-000-1,['O-20240102-011500-001-000-3'],O-20240102-011500-001-000-1,,,,['STOP_LOSS'],8c9716b9-1802-4f66-8e6f-bcc35233b03a,2024-01-02 01:15:00+00:00,2024-01-02 02:53:00+00:00,1.10206,DEFAULT,,,,,
O-20240102-052000-001-000-4,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-004,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-006,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.1025699994,0.0,['110.26 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-052000-001-000-2,"['O-20240102-052000-001-000-5', 'O-20240102-052000-001-000-6']",,,,,['ENTRY'],f1e7cce6-8a84-486a-b6dc-5fbb5ba8c15b,2024-01-02 05:20:00+00:00,2024-01-02 05:20:00+00:00,,,,,,,
O-20240102-052000-001-000-5,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-005,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-008,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.100550011,9.989000000043546e-06,['110.05 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-052000-001-000-2,['O-20240102-052000-001-000-6'],O-20240102-052000-001-000-4,,,,['STOP_LOSS'],76024eb8-e104-46e0-bd94-f7ba805cba04,2024-01-02 05:20:00+00:00,2024-01-02 10:09:00+00:00,1.10056,DEFAULT,,,,,
O-20240102-150000-001-000-7,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-007,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-010,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0966099807000003,0.0,['109.66 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-150000-001-000-3,"['O-20240102-150000-001-000-8', 'O-20240102-150000-001-000-9']",,,,,['ENTRY'],02946aab-c548-4de5-8399-5b20ad06956d,2024-01-02 15:00:00+00:00,2024-01-02 15:00:00+00:00,,,,,,,
O-20240102-150000-001-000-8,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-008,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-012,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0945900063,9.993699999988337e-06,['109.46 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-150000-001-000-3,['O-20240102-150000-001-000-9'],O-20240102-150000-001-000-7,,,,['STOP_LOSS'],07686a32-daf4-4a3d-8470-3a177b246db8,2024-01-02 15:00:00+00:00,2024-01-02 15:55:00+00:00,1.09460,DEFAULT,,,,,
O-20240102-182500-001-000-10,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-010,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-014,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0954699973,0.0,['109.55 USD'],NO_TRIGGER,FILLED,OTO,OL-20240102-182500-001-000-4,"['O-20240102-182500-001-000-11', 'O-20240102-182500-001-000-12']",,,,,['ENTRY'],068dd462-aadd-4615-82ec-083a393bb5df,2024-01-02 18:25:00+00:00,2024-01-02 18:25:00+00:00,,,,,,,
O-20240102-182500-001-000-11,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-011,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-016,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0934500038,9.996200000195188e-06,['109.34 USD'],NO_TRIGGER,FILLED,OUO,OL-20240102-182500-001-000-4,['O-20240102-182500-001-000-12'],O-20240102-182500-001-000-10,,,,['STOP_LOSS'],2ddefe71-3e03-4ed8-933f-9087e85623d1,2024-01-02 18:25:00+00:00,2024-01-03 10:01:00+00:00,1.09346,DEFAULT,,,,,
O-20240103-150000-001-000-13,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-013,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-018,MARKET,BUY,100000,GTC,False,False,100000,TAKER,1.0925099649,0.0,['109.25 USD'],NO_TRIGGER,FILLED,OTO,OL-20240103-150000-001-000-5,"['O-20240103-150000-001-000-14', 'O-20240103-150000-001-000-15']",,,,,['ENTRY'],bad80ccf-8f2d-4115-a0b4-64d403c59ab6,2024-01-03 15:00:00+00:00,2024-01-03 15:00:00+00:00,,,,,,,
O-20240103-150000-001-000-14,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-1-014,EURUSD.FOREX_MS-InternalEmaCrossStrategy-000,FOREX_MS-001,FOREX_MS-1-020,STOP_MARKET,SELL,100000,GTC,True,False,100000,TAKER,1.0904900172,9.982799999974645e-06,['109.05 USD'],NO_TRIGGER,FILLED,OUO,OL-20240103-150000-001-000-5,['O-20240103-150000-001-000-15'],O-20240103-150000-001-000-13,,,,['STOP_LOSS'],d34a4faf-253c-4439-b5dd-5d3884b1e1ca,2024-01-03 15:00:00+00:00,2024-01-03 15:40:00+00:00,1.09050,DEFAULT,,,,,
