position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-1512796c-4dcf-48f3-93d1-f54b18fd3427,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-011500-001-000-1,O-20240102-011500-001-000-2,BUY,FLAT,0,100000,1704158100000000000,2024-01-02 01:15:00+00:00,1704163980000000000,2024-01-02 02:53:00+00:00,5880000000000,1.1040699922000001,1.1020500039999999,['220.61 USD'],-0.00183,-422.61 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-4b312d91-18b5-4fad-af0d-539e5562a72a,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-052000-001-000-4,O-20240102-052000-001-000-5,BUY,FLAT,0,100000,1704172800000000000,2024-01-02 05:20:00+00:00,1704190140000000000,2024-01-02 10:09:00+00:00,17340000000000,1.1025699994,1.100550011,['220.31 USD'],-0.00183,-422.31 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-e3358985-21b1-4322-a81c-22f342180f52,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-150000-001-000-7,O-20240102-150000-001-000-8,BUY,FLAT,0,100000,1704207600000000000,2024-01-02 15:00:00+00:00,1704210900000000000,2024-01-02 15:55:00+00:00,3300000000000,1.0966099807000003,1.0945900063,['219.12 USD'],-0.00184,-421.12 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-f7a36451-c0af-4b18-b1ab-0b8c3c6a17eb,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240102-182500-001-000-10,O-20240102-182500-001-000-11,BUY,FLAT,0,100000,1704219900000000000,2024-01-02 18:25:00+00:00,1704276060000000000,2024-01-03 10:01:00+00:00,56160000000000,1.0954699973,1.0934500038,['218.89 USD'],-0.00184,-420.89 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-47817ba3-7798-46ea-b529-8c4b5221c2af,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240103-150000-001-000-13,O-20240103-150000-001-000-14,BUY,FLAT,0,100000,1704294000000000000,2024-01-03 15:00:00+00:00,1704296400000000000,2024-01-03 15:40:00+00:00,2400000000000,1.0925099649,1.0904900172,['218.30 USD'],-0.00185,-420.29 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-6a2c5ea2-1bd2-49c7-bf00-164acc9ea5b0,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240103-181000-001-000-16,O-20240103-181000-001-000-18,BUY,FLAT,0,100000,1704305400000000000,2024-01-03 18:10:00+00:00,1704358500000000000,2024-01-04 08:55:00+00:00,53100000000000,1.0912599914,1.09525,['218.64 USD'],0.00366,180.35 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-6f9dfb78-50f0-48aa-8ee8-cc49ef1f3423,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240104-110500-001-000-19,O-20240104-110500-001-000-21,SELL,FLAT,0,100000,1704366300000000000,2024-01-04 11:05:00+00:00,1704443460000000000,2024-01-05 08:31:00+00:00,77160000000000,1.0955200038,1.09155,['218.71 USD'],0.00362,178.29 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-bbe4ab12-f18c-434a-8061-116b8981398e,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-112000-001-000-22,O-20240105-112000-001-000-23,BUY,FLAT,0,100000,1704453600000000000,2024-01-05 11:20:00+00:00,1704461400000000000,2024-01-05 13:30:00+00:00,7800000000000,1.0915799971,1.0895600522,['218.12 USD'],-0.00185,-420.11 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-1e3e041b-6059-4ae0-bea7-5583162470a5,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-133000-001-000-25,O-20240105-133000-001-000-26,SELL,FLAT,0,100000,1704461400000000000,2024-01-05 13:30:00+00:00,1704461640000000000,2024-01-05 13:34:00+00:00,240000000000,1.0881400524000002,1.0901999544,['217.83 USD'],-0.00189,-423.82 USD,True
EURUSD.FOREX_MS-InternalEmaCrossStrategy-000-66ac919f-7e1b-4aaa-b5b8-4c308f687cd1,AGG-DEMO-001,InternalEmaCrossStrategy-000,EURUSD.FOREX_MS,FOREX_MS-001,O-20240105-140000-001-000-28,O-20240105-140000-001-000-30,BUY,FLAT,0,100000,1704463200000000000,2024-01-05 14:00:00+00:00,1704466800000000000,2024-01-05 15:00:00+00:00,3600000000000,1.0927599748999999,1.09675,['218.94 USD'],0.00365,180.05 USD,True
