,total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
2020-04-01 00:00:00+00:00,1000000.00,0.00,1000000.00,USD,Commodities_MS-001,MARGIN,USD,[],True,{}
2020-04-01 04:45:00+00:00,999999.98,7.19,999992.79,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7.19', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 04:45:00+00:00,997946.50,718725.35,279221.15,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '718725.35', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 05:45:00+00:00,997946.21,718718.16,279228.05,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '718718.16', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 05:45:00+00:00,968918.00,0.00,968918.00,USD,Commodities_MS-001,MARGIN,USD,[],False,{}
2020-04-01 05:45:00+00:00,968917.98,7.09,968910.89,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7.09', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 05:45:00+00:00,966891.50,709274.65,257616.85,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '709274.65', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 10:30:00+00:00,966891.18,709267.56,257623.62,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '709267.56', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 10:30:00+00:00,934833.00,0.00,934833.00,USD,Commodities_MS-001,MARGIN,USD,[],False,{}
2020-04-01 10:30:00+00:00,934832.98,7.20,934825.78,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7.20', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 10:30:00+00:00,932776.50,719775.35,213001.15,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '719775.35', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 13:00:00+00:00,932776.17,719768.15,213008.02,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '719768.15', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 13:00:00+00:00,899749.00,0.00,899749.00,USD,Commodities_MS-001,MARGIN,USD,[],False,{}
2020-04-01 13:00:00+00:00,899748.98,7.09,899741.89,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7.09', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 13:00:00+00:00,897723.50,708924.65,188798.85,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '708924.65', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 13:15:00+00:00,897723.22,708917.56,188805.66,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '708917.56', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
2020-04-01 13:15:00+00:00,869670.00,0.00,869670.00,USD,Commodities_MS-001,MARGIN,USD,[],False,{}
2020-04-01 13:15:00+00:00,869669.98,7.18,869662.80,USD,Commodities_MS-001,MARGIN,USD,"[{'type': 'MarginBalance', 'initial': '0.00', 'maintenance': '7.18', 'currency': 'USD', 'instrument_id': 'EURUSD.Commodities_MS'}]",False,{}
