client_order_id,trader_id,strategy_id,instrument_id,venue_order_id,position_id,account_id,last_trade_id,type,side,quantity,time_in_force,is_reduce_only,is_quote_quantity,filled_qty,liquidity_side,avg_px,slippage,commissions,emulation_trigger,status,contingency_type,order_list_id,linked_order_ids,parent_order_id,exec_algorithm_id,exec_algorithm_params,exec_spawn_id,tags,init_id,ts_init,ts_last
O-20200401-044500-001-000-1,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-001,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-002,MARKET,BUY,100000,GTC,False,False,100000,TAKER,20.535009999899998,0.0,['2053.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross BUY: fast(10)=20.50533 >= slow(20)=20.49160'],f5f0ba83-bd58-4162-bcdc-b321dd6ff9ce,2020-04-01 04:45:00+00:00,2020-04-01 04:45:00+00:00
O-20200401-054500-001-000-2,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-002,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-004,MARKET,SELL,100000,GTC,True,False,100000,TAKER,20.2649900001,0.0,['2026.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,45813312-5db1-46ea-814f-7ede63da9b5c,2020-04-01 05:45:00+00:00,2020-04-01 05:45:00+00:00
O-20200401-054500-001-000-3,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-003,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-006,MARKET,SELL,100000,GTC,False,False,100000,TAKER,20.2649900001,0.0,['2026.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross SELL: fast(10)=20.44694 < slow(20)=20.46424'],34096a38-ad36-4849-860a-4f3ee6dd7153,2020-04-01 05:45:00+00:00,2020-04-01 05:45:00+00:00
O-20200401-103000-001-000-4,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-004,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-008,MARKET,BUY,100000,GTC,True,False,100000,TAKER,20.5650099999,0.0,['2056.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,d13d94fa-9338-4d1f-bfba-6fa5b0ae8d65,2020-04-01 10:30:00+00:00,2020-04-01 10:30:00+00:00
O-20200401-103000-001-000-5,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-005,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-010,MARKET,BUY,100000,GTC,False,False,100000,TAKER,20.5650099999,0.0,['2056.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross BUY: fast(10)=20.29533 >= slow(20)=20.29496'],b491ad5c-4433-4a10-847e-a633e1ddd113,2020-04-01 10:30:00+00:00,2020-04-01 10:30:00+00:00
O-20200401-130000-001-000-6,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-006,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-012,MARKET,SELL,100000,GTC,True,False,100000,TAKER,20.254990000099998,0.0,['2025.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,f37bb1e8-b705-4ff5-9ae2-9388f8f20df3,2020-04-01 13:00:00+00:00,2020-04-01 13:00:00+00:00
O-20200401-130000-001-000-7,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-007,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-014,MARKET,SELL,100000,GTC,False,False,100000,TAKER,20.254990000099998,0.0,['2025.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross SELL: fast(10)=20.35260 < slow(20)=20.36093'],9e631412-2c72-40ad-b1f2-02205d7cb086,2020-04-01 13:00:00+00:00,2020-04-01 13:00:00+00:00
O-20200401-131500-001-000-8,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-008,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-016,MARKET,BUY,100000,GTC,True,False,100000,TAKER,20.5150099999,0.0,['2051.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,ab49f451-30a8-4fd4-92d4-90c82ed66b26,2020-04-01 13:15:00+00:00,2020-04-01 13:15:00+00:00
O-20200401-131500-001-000-9,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-009,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-018,MARKET,BUY,100000,GTC,False,False,100000,TAKER,20.5150099999,0.0,['2051.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross BUY: fast(10)=20.37304 >= slow(20)=20.37084'],72e4b273-c47d-425b-b6cb-c91eef9f4051,2020-04-01 13:15:00+00:00,2020-04-01 13:15:00+00:00
O-20200401-134500-001-000-10,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-010,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-020,MARKET,SELL,100000,GTC,True,False,100000,TAKER,20.324990000099998,0.0,['2032.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,e52e84e1-a9ae-494a-b020-73cd18233c62,2020-04-01 13:45:00+00:00,2020-04-01 13:45:00+00:00
O-20200401-134500-001-000-11,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-011,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-022,MARKET,SELL,100000,GTC,False,False,100000,TAKER,20.324990000099998,0.0,['2032.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross SELL: fast(10)=20.36162 < slow(20)=20.36511'],1ea32958-fef8-4af3-9890-d3b28904fbb2,2020-04-01 13:45:00+00:00,2020-04-01 13:45:00+00:00
O-20200401-154500-001-000-12,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-012,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-024,MARKET,BUY,100000,GTC,True,False,100000,TAKER,20.715009999899998,0.0,['2071.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,fb605dfc-363d-4e87-882c-3e4576a9a643,2020-04-01 15:45:00+00:00,2020-04-01 15:45:00+00:00
O-20200401-154500-001-000-13,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-013,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-026,MARKET,BUY,100000,GTC,False,False,100000,TAKER,20.715009999899998,0.0,['2071.50 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross BUY: fast(10)=20.40163 >= slow(20)=20.37643'],418bae17-97c3-4f29-8f72-531de559bbdf,2020-04-01 15:45:00+00:00,2020-04-01 15:45:00+00:00
O-20200401-164500-001-000-14,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-014,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-028,MARKET,SELL,100000,GTC,True,False,100000,TAKER,20.1799900001,0.0,['2018.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,,19028d75-7c9c-468e-9c5c-b2b4e2e1ef25,2020-04-01 16:45:00+00:00,2020-04-01 16:45:00+00:00
O-20200401-164500-001-000-15,BACKTESTER-001,EMACrossTFStrategy-000,EURUSD.Commodities_MS,Commodities_MS-1-015,EURUSD.Commodities_MS-EMACrossTFStrategy-000,Commodities_MS-001,Commodities_MS-1-030,MARKET,SELL,100000,GTC,False,False,100000,TAKER,20.1799900001,0.0,['2018.00 USD'],NO_TRIGGER,FILLED,NO_CONTINGENCY,,,,,,,['EMA Cross SELL: fast(10)=20.33242 < slow(20)=20.34666'],a445961a-6747-4dc9-bd50-89bac2299f6d,2020-04-01 16:45:00+00:00,2020-04-01 16:45:00+00:00
